case_id,dice,iou,false_positive_voxels,false_negative_voxels,reference_voxels,predicted_voxels
deepmeta_097_NoP_c3_08Corr_1,0.09868217176412503,0.05190198624271389,87159,84442,93836,96553
deepmeta_096_NoP_c2_06Corr_1,0.5038551047252858,0.33676892279391873,47961,50107,99903,97757
deepmeta_087_m2P_c2_05Corr_1,0.6670127088546732,0.500389398522745,30327,30617,91656,91366
deepmeta_093_m2PR_c3_08Corr_1,0.6843613378983407,0.5201742375107097,32555,27369,92332,97518
deepmeta_126_m2PLc_c2_21Corr_1,0.7579125299789804,0.6101925575065614,41867,2244,71294,110917
deepmeta_172_m2P_c2_24Corr_1,0.815496535072591,0.6884712111184645,21761,1775,53789,73775
deepmeta_171_m2P_c2_23Corr_1,0.9280221362305202,0.8657101677148847,8250,1999,68070,74321
deepmeta_141_NoPc_c1_17Corr_1,0.9463420550797491,0.898149214023509,3976,3987,74207,74196
deepmeta_158_m2PLc_c2_25Corr_1,0.9661807580174927,0.9345741680767061,2949,5171,121161,118939
deepmeta_154_m2P_c2_23Corrb_1,0.9669533423628394,0.9360209775756949,2192,2761,75224,74655
deepmeta_174_m2PLc_c2_24Corr_1,0.9690967272846773,0.9400462225055786,572,6951,124908,118529
deepmeta_181_m2PLc_c2_19Corrc_1,0.9705895777862305,0.9428596766088267,4038,1761,97449,99726
deepmeta_182_m2PLc_c2_19Corrb_1,0.9718398121991008,0.945222178148854,1342,4320,102021,99043
deepmeta_125_m2PLc_c2_19Corr_1,0.9742338512508857,0.9497621387086418,1680,3484,101111,99307
deepmeta_140_NoPc_c1_11Corr_1,0.9790954614100628,0.9590470258486453,1383,2562,94947,93768
deepmeta_155_m2PLc_c2_23Corrb_1,0.979713027285392,0.9602328104599201,1764,2561,106994,106197
deepmeta_173_m2PLc_c2_23Corr_1,0.979713027285392,0.9602328104599201,1764,2561,106994,106197
deepmeta_124_m2PLc_c2_12Corr_1,0.9806026607144621,0.9619435159618273,1684,2244,101531,100971
