"case_id","final","best","delta_best_minus_final"
"deepmeta_182_m2PLc_c2_19Corrb_1","0.9801375095492743","0.9718398121991008","-0.008297697350173494"
"deepmeta_141_NoPc_c1_17Corr_1","0.9532085917329856","0.9463420550797491","-0.006866536653236444"
"deepmeta_125_m2PLc_c2_19Corr_1","0.9803233574131407","0.9742338512508857","-0.0060895061622550095"
"deepmeta_172_m2P_c2_24Corr_1","0.8210583742498636","0.815496535072591","-0.005561839177272598"
"deepmeta_140_NoPc_c1_11Corr_1","0.9845607882869877","0.9790954614100628","-0.005465326876924914"
"deepmeta_158_m2PLc_c2_25Corr_1","0.9714659718813327","0.9661807580174927","-0.005285213863839955"
"deepmeta_154_m2P_c2_23Corrb_1","0.9701185770750989","0.9669533423628394","-0.0031652347122594904"
"deepmeta_174_m2PLc_c2_24Corr_1","0.9713316968647122","0.9690967272846773","-0.0022349695800348846"
"deepmeta_171_m2P_c2_23Corr_1","0.930126526143655","0.9280221362305202","-0.0021043899131347743"
"deepmeta_173_m2PLc_c2_23Corr_1","0.9816022916281648","0.979713027285392","-0.0018892643427728117"
"deepmeta_155_m2PLc_c2_23Corrb_1","0.9816022916281648","0.979713027285392","-0.0018892643427728117"
"deepmeta_097_NoP_c3_08Corr_1","0.09871634548583277","0.09868217176412503","-3.417372170774757E-05"
"deepmeta_181_m2PLc_c2_19Corrc_1","0.9686131824633654","0.9705895777862305","0.0019763953228650877"
"deepmeta_096_NoP_c2_06Corr_1","0.5015193910401059","0.5038551047252858","0.00233571368517993"
"deepmeta_126_m2PLc_c2_21Corr_1","0.755354505169867","0.7579125299789804","0.0025580248091133795"
"deepmeta_087_m2P_c2_05Corr_1","0.532677893291704","0.6670127088546732","0.13433481556296922"
"deepmeta_093_m2PR_c3_08Corr_1","0.5054295078635128","0.6843613378983407","0.17893183003482793"
"deepmeta_124_m2PLc_c2_12Corr_1","0.6835138879658079","0.9806026607144621","0.2970887727486542"
