"case_id","final","best","delta_best_minus_final"
"deepmeta_127_m2PLc_c3_16Corr_1","0.952303961196443","0.9453827301983617","-0.006921230998081285"
"deepmeta_004_m2P_day32","0.8663813618718458","0.8630338792070299","-0.0033474826648158817"
"deepmeta_131_m2PRc_c2_13Corr_1","0.9771783842671725","0.9761663787300346","-0.0010120055371378722"
"deepmeta_094_m2PRc_c2_05Corr_1","0.30002968239833777","0.29914984059511157","-0.0008798418032262001"
"deepmeta_128_m2PLc_c3_20Corr_1","0.9549005045201936","0.954115173580842","-0.000785330939351625"
"deepmeta_129_m2PR_c1_09Corr_1","0.9797132542175788","0.9795203668101775","-0.00019288740740130983"
"deepmeta_078_2PRc_day36","0.9237372036807164","0.9236170052482234","-0.00012019843249300166"
"deepmeta_150_PR_c2_11Corr_1","0.9867137854128719","0.9866310890926808","-8.269632019108908E-05"
"deepmeta_000_m2P_day6","0.799208544021846","0.7991523808973907","-5.616312445533289E-05"
"deepmeta_132_m2PRc_c2_18Corr_1","0.9782111662504873","0.978172291830291","-3.887442019634424E-05"
"deepmeta_091_m2PLc_c3_08Corr_1","0.2931559736465979","0.293128254316251","-2.7719330346898108E-05"
"deepmeta_077_2PRc_day29","0.9505060347904949","0.9506046637221054","9.862893161050046E-05"
"deepmeta_149_PR_c1_10Corr_1","0.9795647712022735","0.9796948431013045","0.00013007189903102567"
"deepmeta_076_2PRc_day22","0.9619994356580828","0.9622897800776197","0.00029034441953690315"
"deepmeta_133_m2PRc_c2_20Corr_1","0.8964141981799064","0.8968186298520279","0.0004044316721214525"
"deepmeta_130_m2PRc_c1_11Corr_1","0.9847787502606379","0.9852033207270581","0.00042457046642019325"
"deepmeta_002_m2P_day19","0.9168114757729853","0.9180393890280438","0.0012279132550585548"
"deepmeta_003_m2P_day25","0.9123651740143044","0.913794239768009","0.0014290657537046059"
