case_id,dice,iou,false_positive_voxels,false_negative_voxels,reference_voxels,predicted_voxels
deepmeta_183_PLc_c1_21Corrb_1,0.6358648077374726,0.46613034495711514,33252,34968,94532,92816
deepmeta_180_PLc_c1_21Corrc_1,0.6895381715362865,0.5261795166858458,30152,25846,88032,92338
deepmeta_144_PLc_c1_10Corr_1,0.7377029943419233,0.5844131698287082,23116,28295,100591,95412
deepmeta_145_PLc_c1_18Corr_1,0.7437033286925706,0.5919806568607697,20736,27864,98376,91248
deepmeta_146_PLc_c1_21Corr_1,0.7982740725041708,0.6642729879080032,20117,17004,90452,93565
deepmeta_015_m2PRPL_day19,0.9384871715848678,0.8841034667344105,6326,6448,103893,103771
deepmeta_009_m2PL_day32,0.9428367716122493,0.8918554356550432,7854,21249,261258,247863
deepmeta_016_m2PRPL_day25,0.9435789828666711,0.8931845992870697,2799,9247,109975,103527
deepmeta_147_PLc_c2_13Corr_1,0.9579902479414877,0.9193678332174509,3272,4034,87337,86575
deepmeta_148_PLc_c3_15Corr_1,0.9733862536988146,0.9481523671447557,2183,3825,113695,112053
deepmeta_122_m2PL_c2_18Corr_1,0.9739737523619271,0.9492678716592567,3474,1581,96167,98060
deepmeta_170_PLc_c1_28scan2Corr_1,0.9770088716496437,0.9550511676725268,3163,1976,111167,112354
deepmeta_168_PLc_c1_28Corr_1,0.9775709255023293,0.9561259063203179,4431,658,111560,115333
deepmeta_178_PLc_c1_24Corr_1,0.9780915268022473,0.9571224355754743,2583,2966,126832,126449
deepmeta_120_m2PL_c1_10Corr_1,0.9781583818848294,0.9572504824075214,1262,2903,96166,94525
deepmeta_177_PLc_c1_23Corr_1,0.9783461844334567,0.9576102682990802,1956,3054,116233,115135
deepmeta_156_PLc_c1_25Corrb_1,0.980710029344519,0.9621501805946819,2852,1434,110385,111803
deepmeta_165_PLc_c1_26scan2Corr_1,0.9811481805601658,0.962993991706863,890,3483,117280,114687
deepmeta_166_PLc_c1_25Corr_1,0.9814784388779602,0.9636304977154616,1292,2879,113392,111805
deepmeta_169_PLc_c1_27scan2Corr_1,0.9829422305309174,0.966456636031625,950,3229,123635,121356
deepmeta_157_PLc_c1_26Corr_1,0.9841782257041499,0.968849310585378,986,2631,115127,113482
deepmeta_121_m2PL_c2_11Corr_1,0.9848592748552497,0.9701701945952541,958,1976,97400,96382
deepmeta_167_PLc_c1_27Corr_1,0.9849896931161629,0.9704233409610984,1216,2403,121144,119957
