"case_id","final","best","delta_best_minus_final"
"deepmeta_057_2PLc_day113","0.920125194853824","0.9147013265791496","-0.005423868274674448"
"deepmeta_058_2PLc_day120","0.8324869575556998","0.8289939699165008","-0.00349298763919903"
"deepmeta_055_2PLc_day99","0.9314095981735636","0.9283999875315607","-0.003009610642002891"
"deepmeta_053_2PLc_day85","0.9351960043072834","0.932392998886446","-0.0028030054208374455"
"deepmeta_100_Plc_c3_07Corr_1","0.9837784211505349","0.9811653633415983","-0.002613057808936614"
"deepmeta_089_m2Pc_c2_08Corr_1","0.5091670164122728","0.5069273662744751","-0.0022396501377976996"
"deepmeta_013_m2PR_day25","0.9179249294900308","0.9157701390711099","-0.00215479041892086"
"deepmeta_050_2PLc_day64","0.9123633816734625","0.9104140908006334","-0.0019492908728291347"
"deepmeta_084_NoPc_day50","0.9555625754131215","0.9538740043446777","-0.0016885710684437782"
"deepmeta_012_m2PR_day19","0.9277558435267046","0.9262475609049284","-0.001508282621776158"
"deepmeta_042_2PLc_day8","0.9239262533175653","0.9227156323216913","-0.00121062099587399"
"deepmeta_018_NoP_day19","0.9452824576685291","0.9442349252086952","-0.0010475324598339109"
"deepmeta_098_PL_c2_05Corr_1","0.7178649237472767","0.716946178802819","-0.0009187449444577611"
"deepmeta_138_NoP_c1_17Corr_1","0.9318683004467967","0.9309787021822111","-0.0008895982645855671"
"deepmeta_137_NoP_c1_12Corr_1","0.9803238677654221","0.9796077103626872","-0.000716157402734896"
"deepmeta_102_Prc_c3_06Corr_1","0.9813823435758637","0.9809537077578314","-0.0004286358180323191"
"deepmeta_054_2PLc_day92","0.9413175823355687","0.940930082128447","-0.00038750020712174926"
"deepmeta_086_PLc_day22","0.9478990425764844","0.9475222124270729","-0.00037683014941147785"
"deepmeta_051_2PLc_day71","0.956279997381131","0.9560556262991801","-0.00022437108195094702"
"deepmeta_047_2PLc_day43","0.949945716796774","0.9509754903224144","0.0010297735256403762"
"deepmeta_052_2PLc_day78","0.9013690812422476","0.9026462564940142","0.0012771752517666268"
"deepmeta_045_2PLc_day29","0.9003182990763086","0.9027021984514444","0.002383899375135834"
