case_id,dice,iou,false_positive_voxels,false_negative_voxels,reference_voxels,predicted_voxels
deepmeta_089_m2Pc_c2_08Corr_1,0.5091670164122728,0.34153189660920263,47715,41167,87268,93816
deepmeta_098_PL_c2_05Corr_1,0.7178649237472767,0.5598980458793543,29926,27054,99544,102416
deepmeta_058_2PLc_day120,0.8324869575556998,0.7130429616553222,13373,54249,222279,181403
deepmeta_045_2PLc_day29,0.9003182990763086,0.8187080846394688,2378,16788,103341,88931
deepmeta_052_2PLc_day78,0.9013690812422476,0.820447582397778,6292,10645,88037,83684
deepmeta_050_2PLc_day64,0.9123633816734625,0.8388494523816655,12594,3547,87567,96614
deepmeta_013_m2PR_day25,0.9179249294900308,0.8483005980882857,12789,4002,97897,106684
deepmeta_057_2PLc_day113,0.920125194853824,0.852066545555966,4376,15249,128285,117412
deepmeta_042_2PLc_day8,0.9239262533175653,0.8586086745132995,2260,11699,96466,87027
deepmeta_012_m2PR_day19,0.9277558435267046,0.8652468170851819,12554,2359,98115,108310
deepmeta_055_2PLc_day99,0.9314095981735636,0.8716245219698744,6888,6271,95616,96233
deepmeta_138_NoP_c1_17Corr_1,0.9318683004467967,0.8724282790564073,5496,5163,78057,78390
deepmeta_053_2PLc_day85,0.9351960043072834,0.878279953954234,8791,2523,84160,90428
deepmeta_054_2PLc_day92,0.9413175823355687,0.889140658831586,3310,7698,95987,91599
deepmeta_018_NoP_day19,0.9452824576685291,0.8962422826294957,7111,3191,92178,96098
deepmeta_086_PLc_day22,0.9478990425764844,0.9009582548976947,4563,5907,101150,99806
deepmeta_047_2PLc_day43,0.949945716796774,0.9046634369215014,2642,7040,98914,94516
deepmeta_084_NoPc_day50,0.9555625754131215,0.9149064873762917,5289,3292,95553,97550
deepmeta_051_2PLc_day71,0.956279997381131,0.9162227369233739,3517,5164,100103,98456
deepmeta_137_NoP_c1_12Corr_1,0.9803238677654221,0.9614070946400237,1172,3133,110377,108416
deepmeta_102_Prc_c3_06Corr_1,0.9813823435758637,0.9634452509109381,1182,2560,101185,99807
deepmeta_100_Plc_c3_07Corr_1,0.9837784211505349,0.9680747207359429,2037,1364,104493,105166
